index,latitude,longitude,street_name,street_counter
106,43.7136976,10.3899272,Ponte della Cittadella; Piazza di Terzanaia; Lungarno Ranieri Simonelli; Rotatoria Piero Fioretti,4
108,43.7137546,10.3958697,Via del Galloro; Via San Paolo,2
109,43.7144254,10.3955704,Via del Galloro; Piazza Aurelio Saffi,2
110,43.7136029,10.3952831,Via Carabottaia; Via San Paolo; Via San Paolo; Via Porta Dolfi,4
111,43.7143259,10.3948894,Via Porta Dolfi; Lungarno Sidney Sonnino; Lungarno Sidney Sonnino,3
112,43.7135287,10.3950472,Via Balduinetti; Via San Paolo,2
113,43.7142242,10.3946734,Lungarno Sidney Sonnino; Via Balduinetti,2
114,43.713107,10.3935777,Piazza San Paolo a Ripa d'Arno; Via San Paolo,2
115,43.7134857,10.3932634,Piazza San Paolo a Ripa d'Arno; Lungarno Sidney Sonnino; Lungarno Sidney Sonnino; Piazza San Paolo a Ripa d'Arno,4
116,43.7139388,10.3968286,Via San Paolo; Via Borgundio,2
117,43.7138861,10.3964708,Via San Paolo; Via San Paolo; Via dei Somari,3
118,43.7138206,10.3961585,Via San Paolo; Via Francesco Crispi; Via San Paolo; Via Francesco Crispi,4
119,43.7147596,10.3976168,Via La Maddalena; Vicolo San Cosimo; Via Camilla Del Lante,3
120,43.7147739,10.3980333,Via delle Conce; Via La Maddalena; Vicolo delle Conce; Via La Maddalena,4
121,43.715567,10.3979147,Via delle Conce; Lungarno Gambacorti; Lungarno Gambacorti,3
122,43.7147773,10.3983352,Via La Maddalena; Vicolo dell'Annunziata; Vicolo Ricciardi,3
123,43.71478,10.3985469,Via Mecherini; Via La Maddalena,2
124,43.715746,10.39856295,Via Mecherini; Lungarno Gambacorti; Lungarno Gambacorti,3
125,43.714612,10.3954692,Lungarno Sidney Sonnino; Piazza Aurelio Saffi,2
126,43.71494,10.3994507,Piazza dei Facchini; Via delle Belle Donne,2
127,43.7153082,10.4001725,Piazza dei Facchini; Galleria Luciano Chiti,2
128,43.722343,10.401046,Via San Tommaso; Via Cardinale Pietro Maffi; Via Cardinale Pietro Maffi,3
129,43.7194963,10.3987961,Via Pasquale Paoli; Piazza Francesco Buonamici,2
130,43.7163187,10.3974748,Piazza Francesco Carrara; Lungarno Antonio Pacinotti; Lungarno Antonio Pacinotti,3
131,43.7166222,10.4002481,Lungarno Antonio Pacinotti; Lungarno Antonio Pacinotti; Vicolo del Tidi,2
132,43.7153998,10.4021415,Via del Moro; Lungarno Galileo Galilei,2
133,43.715532,10.4002761,Via Pietro Toselli; Galleria Luciano Chiti,3
135,43.7156532,10.3982661,Vicolo Ricciardi; Lungarno Gambacorti; Lungarno Gambacorti,3
136,43.715194,10.3968328,Lungarno Gambacorti; Via Sant'Antonio; Lungarno Gambacorti,3
137,43.7235875,10.3985304,Via San Ranierino; Via Contessa Matilde; Via Contessa Matilde,3
138,43.7189718,10.3899712,Via Bonanno Pisano; Via Bonanno Pisano; Via Carlo Francesco Gabba; Via Risorgimento,4
139,43.7145502,10.3962007,Via dei Somari; Via La Maddalena,2
140,43.7146889,10.3969861,Via La Maddalena; Via Sant'Antonio; Via La Maddalena,3
141,43.7146116,10.3965151,Via La Maddalena; Via Borgundio,2
142,43.7144783,10.3958279,Via La Maddalena; Via Francesco Crispi; Piazza Aurelio Saffi; Via Francesco Crispi,4
143,43.7167129,10.3973467,Piazza Francesco Carrara; Via San Nicola,2
144,43.7203357,10.3908775,Via Diotisalvi; Via Bonanno Pisano,2
145,43.7161352,10.3966029,Via Santa Maria; Lungarno Antonio Pacinotti; Lungarno Antonio Pacinotti,3
146,43.7190682,10.3999712,Via San Frediano; Piazza dei Cavalieri,2
147,43.7220093,10.3983839,Via Ferdinando Capponi; Piazza dell'Arcivescovado,2
148,43.7223336,10.3979114,Via Don Gaetano Boschi; Piazza dell'Arcivescovado,2
149,43.7211679,10.3880796,Via Diotisalvi; Via Ape al Bocconcino,2
150,43.712376, 10.391163, Ponte della Cittadella; Lungarno Sidney Sonnino,2
151,43.714896, 10.399991, Piazza dei Facchini; Piazza dei Facchini,2
152,43.720877, 10.3990833, Via Giacomo Leopardi; Via Uguccione della Faggiola; Via Uguccione della Faggiola,3
153,43.7234938,10.3989486, Via Contessa Matilde; Via Contessa Matilde; Via Santo Stefano,3
154,43.7147395,10.4016867, Via Empanada; Via San Martino; Via Pietro Toselli, 3
155,43.7225588,10.4017027, Largo del Parlascio; Largo del Parlascio; Largo del Parlascio, 3
156,43.7225430,10.4022058, Largo del Parlascio; Largo del Parlascio, 2 

